3月1日起 一批新规正式施行 一起来看看3月份 生活将有哪些不一样！          版权归原作者所有，如需转载请注明出处	明天起，一批新规正式施行。一起来看看3月份，生活将有哪些不一样！          来源：人民网、人民日报 编辑：陶瑞祥
最近又有一位女星被曝光新恋情啦！在何泓姗被传出恋情之后，却也引起了不少热议，而就连男方的身份也都被扒出，看来艺人的影响力还是挺大的，就连谈个恋爱，也多备受网友们的关注，想要低调一点都不行啊！	2月23日，有媒体曝光知名女星何泓姗的新恋情，何泓姗被拍到与北京WB俱乐部教练胖胖同回酒店。男方又是电竞教练，想必两人也是志趣相投。但网友们还没祝福多久，就有网友爆料称，男方胖胖是个出了名的渣男。
雷锋精神第五小学的全体少先队员们：又到了阳光明媚的三月，又让我们想起那个温暖你我、感动你我的名字——雷锋。争做新时代的小雷锋向雷锋叔叔学习，为家人朋友、社会做一件好事。五小少先队员们，让我们践行雷锋精神，用行动续写“雷锋日记”，做新时代的好少年！	惊蛰一至春耕始 雷锋精神伴我行 中国体育彩票 愿你在践行中学会奉献 在奉献中不断成长 勇担时代责任 绽放青春芳华
优秀的音质，高度成熟的降噪体验——OPPOEncoX蓝调版体验分享	抛开配色谈体验：OPPOEncoX蓝调版真无线降噪耳机上手
证券代码：300788证券简称：中信出版公告编号：2021-005中信出版集团股份有限公司关于披露2020年年度报告的提示性公告本公司及董事会全体成员保证信息披露的内容真实、准确、完整，没有虚假记载、误导性陈述或重大遗漏。	证券代码：300798证券简称：锦鸡股份公告编号：2021-026江苏锦鸡实业股份有限公司关于2020年年度报告披露的提示性公告本公司及董事会全体成员保证信息披露的内容真实、准确、完整，没有虚假记载、误导性陈述或重大遗漏。
23日，财政部、国家税务总局宣布，延长相关税收优惠政策的执行期限。同时，供热企业向居民个人供热取得的采暖费收入免征增值税等政策，执行期限将延长至2023年供暖期结束。	经济日报-中国经济网北京3月23日讯据财政部网站消息，财政部、税务总局日前发布《关于延续实施应对疫情部分税费优惠政策的公告(下简称公告)》。
建设世界科技强国的战略擘画	努力成为世界主要科学中心和创新高地
日本政府解除首都圈4都县紧急状态将阶段性放宽大型活动人数限制	日本首都圈紧急宣言将解除全国知事建言防疫情反弹
3月20日，中国科学家宣布在琥珀中发现了一种昆虫新物种。武力静女士是琥珀标本提供者，因此研究团队将这一昆虫新物种命名为“武氏大角蝽”。琥珀里的大角蝽有着极为夸张的叶状扩展触角，这是缘蝽科中最早的有关叶状触角的记录。	2021年3月，中国科学家在琥珀中发现了一种名为“大角蝽”的新物种，这是目前发现的触角比例最大的一类昆虫。3月20日起，这枚琥珀将在北京石探记博物馆免费展览。
福建福州长乐区一染整厂发生火灾，已致2死7伤	突发！福州长乐区金峰一厂房发生火灾
研究人员认为，地球的含氧大气层不会是一个永久的特征。由于二氧化碳会吸收热量分解，因此，太阳老化会导致大气中二氧化碳的数量减少，Ozaki和Reinhard估计，10亿年后，二氧化碳水平将变得如此之低，以至于包括植物在内的光合作用生物将无法生存和产生氧气。	他们的研究发现，在未来10亿年内，地球大气层的氧气含量会很高，然后会急剧恢复到类似于大约24亿年前发生的所谓大氧化事件之前的低水平。预计这将促使大气中二氧化碳的数量减少，因为它吸收热量并分解。
对于这支火箭来说，只要磨洋工的哈登还在队伍里，即便他有强大的能力，塞拉斯也没有办法打造出心目中的进攻体系，球队的重塑也就无从谈起，推倒重建所需要的的选秀权和潜力新秀也只存在于想象之中。	北京时间1月13日，火箭100-117不敌湖人，赛后，哈登在接受采访时语出惊人，用火箭记者的话来说，他像是在告别这支球队。“我们就是不够强，化学反应，天赋方面，所有的一切，很明白了我爱这座城市，我已经竭尽所能了，但现在的情况很疯狂，我不认为这是可以修复的东西，谢谢。”
华微软件与中油新兴科技签署战略合作协议	携手共赢战略合作|融侨集团与福州城投集团签署战略框架协议
推动智能电视生态圈持续蓬勃成长，联发科再出新芯片	AI影音时代到来MediaTekMT96384K电视芯片发布
亲爱的观影朋友：自恢复营业以来，按照国家电影局相关要求，购票观影只能通过网络购票，天全和川电影院已开通微信、美团、猫眼电影、淘票票、微信公众号第三方网络购票渠道，欢迎大家使用！注：会员卡网上购票业务请参见《会员卡在线购票须知》。2021-01-18放映表（会员卡打五折）影厅影片别名版本放映时间结束	影城支持百度糯米、支付宝淘票票购票！
iPadPro5曝本月发布，A14X芯片，性能与M1持平	曝苹果A14X芯片性能比肩M1由iPadPro5首发
实力定义折叠屏旗舰手机行业标准！华为MateX2震撼登场！	华为MateX2内藏创新互联，重新定义折叠屏旗舰手机行业标准！
要闻|除夕火车票即将开售！铁路部门这个提示很重要	除夕火车票即将开售！铁路部门这个提示很重要
湖人后悔吗？出手赛季新低场均得分生涯最低给了合同就大变样	统治力，恩比德首节13分76人领先湖人10分  76人主场对阵湖人，首节34-24领先对手。 乔尔-恩比德在首节统治比赛，5投4中，罚球6中5得到13分。全队19投12中。 湖人这边詹姆斯7投5中得到11分4板2助攻，戴维斯7分。全队三分球7投1中。 收藏 举报
3月17日，四川西昌一幼儿园大班的小男孩为班里女孩梳丸子头的视频走红。视频中，男孩用娴熟的手法给女孩梳头。老师称，当时是孩子们正在看书，“为了方便看书，就帮女孩扎了头发。”   网友：小暖男	3月17日，四川西昌一幼儿园大班的小男孩为班里女孩梳丸子头的视频走红。视频中，男孩用娴熟的手法给女孩梳头。老师称，当时是孩子们正在看书，“为了方便看书，就帮女孩扎了头发。”   网友：小暖男
加州一医生做手术时接受庭审引争议当地医学委员会：正在调查	一心二用？美国一名医生做手术同时参加线上庭审遭质疑
解锁人脸运镜术🐰	解锁人脸运镜术
涨！涨！涨！多品牌发布涨价通知！	平邑人注意！这些品牌即将涨价！
因为在恋爱时，两人并未聊过前任这个问题。陈松伶也坦言，对于这件事她一直装作很大度的样子。张铎对于这件事也做了高情商的处理，立马将照片全部删除，并表示以后不会再联系，分寸掌握得非常。陈松伶也表示非常有安全感，张铎不愧为“中国好老公”。近期婆媳综艺中陈松伶和婆婆之间的相处便能看出一些端倪。	最新一期，两人的婆媳关系更是因为孩子的问题差点崩盘。当然，陈松伶和婆婆能和谐相处，张铎也付出了很多，每次都能巧妙化解婆婆和媳妇的紧张又尴尬的状况，真的太圈粉了，好的婆媳关系背后都少不了有一个好老公。
为人父母天下至善；为人子女天下大孝汉服抖音助手九州华裳天冷注意脱单	为人父母天下至善；为人子女天下大孝汉服抖音助手九州华裳天冷注意脱单
驻马店是生猪养殖和调出大市，拥有国家级生猪调出大县9个，是全国重要的生猪生产加工供应基地。随着养殖行业集约化发展，驻马店生猪养殖虽呈规模化趋势发展，目前仍以家庭养殖为主，生猪养殖利润波动对农民可支配收入水平影响较大。	驻马店是生猪养殖和调出大市，拥有国家级生猪调出大县9个，是全国重要的生猪生产加工供应基地。随着养殖行业集约化发展，驻马店生猪养殖虽呈规模化趋势发展，目前仍以家庭养殖为主，生猪养殖利润波动对农民可支配收入水平影响较大。
iQOONeo5首销大捷！10秒全网销售额破亿	2499元起！iQOONeo5首销10秒销售额破亿
企查查APP显示，3月18日，格力电子商务有限公司发生工商变更，公司经营范围新增药品互联网信息服务等。企查查信息显示，该公司成立于2019年，法定代表人为董明珠，注册资本1亿元人民币，由格力电器（000651）全资控股。  编辑沐沐校对张莹莹	企查查APP显示，3月18日，格力电子商务有限公司发生工商变更，公司经营范围新增药品互联网信息服务等。企查查信息显示，该公司成立于2019年，法定代表人为董明珠，注册资本1亿元人民币，由格力电器（000651）全资控股。  编辑沐沐校对张莹莹
特斯拉工厂摄像机被黑	黑客入侵15万台摄像头，特斯拉某国内供应商视频信息泄露
法国前总统萨科齐出现在巴黎轻罪法院海外网3月2日电法国巴黎轻罪法院1日裁定前总统萨科齐“腐败”和“以权谋私”罪名成立，判处其3年有期徒刑，其中包括1年实刑。萨科齐的代理律师杰奎琳·拉丰表示，将对此提起上诉。前高级法官吉尔贝·阿齐贝尔因腐败等罪名被判处3年有期徒刑，缓刑两年。	中新网3月2日电据外媒报道，当地时间1日，法国巴黎一家法院的法官裁定，前总统萨科齐在贪腐案中有罪，获刑3年，缓刑2年。对此，萨科齐表示不满，将提出上诉。据报道，萨科齐在2013年被指控在2007年的总统竞选中非法接受欧莱雅集团已故继承人利莉亚娜·贝当古的资助。
2月2日竞彩重点赛事	【竞彩】2月2日足球重点赛事
今日，魅族发布Flyme9.0.1.0A尝鲜固件，魅族18系列终于支持同时开启2K+120Hz双开模式。但此前该系列并不支持2K/120Hz同时开启，用户只能在2K/60Hz和1080P/120Hz之间二选一，不能同时兼顾高画面与高流畅效果。	万物皆可OTA，这句话对于魅族而言一点也不假，继前不久魅族向魅族18系列推送Flyme9.0.2.0A尝鲜版固件后，今天魅族18系列再迎重磅升级。
